epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1806.73,1.87048,2.57075,1.60803,0.51404,0.55598,0.48351,0.15613,2.06829,2.4359,1.80992,0.000553164,0.000553164,0.000553164
2,3600.33,1.76446,1.88265,1.52986,0.42945,0.51848,0.39287,0.08722,2.59467,2.12323,2.16528,0.000999056,0.000999056,0.000999056
3,5412.57,1.71863,1.68432,1.51354,0.47951,0.57228,0.54158,0.23508,1.90657,1.86785,1.5903,0.00133493,0.00133493,0.00133493
4,7201.95,1.68982,1.53796,1.486,0.60543,0.50652,0.52591,0.19027,2.22748,2.1099,1.84115,0.0011719,0.0011719,0.0011719
5,8976.67,1.64088,1.41292,1.45368,0.61131,0.66793,0.63031,0.23183,2.18112,1.50368,1.74611,0.00100687,0.00100687,0.00100687
6,10815.4,1.59564,1.30685,1.43043,0.72629,0.65883,0.71077,0.29096,2.01919,1.26899,1.64863,0.000841835,0.000841835,0.000841835
7,12725.5,1.54524,1.22651,1.39955,0.65265,0.68207,0.67463,0.27306,1.99345,1.23607,1.62215,0.000676802,0.000676802,0.000676802
8,14603.4,1.51952,1.15165,1.37901,0.77932,0.69363,0.74119,0.31378,1.99526,1.16809,1.60303,0.000511769,0.000511769,0.000511769
9,16512.1,1.47195,1.06925,1.33652,0.74052,0.72391,0.74792,0.31569,1.95512,1.1493,1.59091,0.000346736,0.000346736,0.000346736
10,18306.8,1.43103,0.99947,1.31493,0.79179,0.7256,0.76869,0.34164,1.8719,1.06056,1.52881,0.000181703,0.000181703,0.000181703
